model,item_id,family,pair_id,arm,read,lens,layer,position,target_in_prompt,rank,distractor_rank,margin,n_target_ids
starcoder2-3b,binding-0-outer,binding,binding-0,outer,use,j-lens,0,27,True,7288,14327,1.07421875,1
starcoder2-3b,binding-0-outer,binding,binding-0,outer,use,j-lens,1,27,True,1387,3528,0.9375,1
starcoder2-3b,binding-0-outer,binding,binding-0,outer,use,j-lens,2,27,True,916,3751,1.4375,1
starcoder2-3b,binding-0-outer,binding,binding-0,outer,use,j-lens,3,27,True,269,2481,2.2734375,1
starcoder2-3b,binding-0-outer,binding,binding-0,outer,use,j-lens,4,27,True,129,1901,2.71875,1
starcoder2-3b,binding-0-outer,binding,binding-0,outer,use,j-lens,5,27,True,203,2006,2.328125,1
starcoder2-3b,binding-0-outer,binding,binding-0,outer,use,j-lens,6,27,True,242,2546,2.28125,1
starcoder2-3b,binding-0-outer,binding,binding-0,outer,use,j-lens,7,27,True,375,3536,2.140625,1
starcoder2-3b,binding-0-outer,binding,binding-0,outer,use,j-lens,8,27,True,552,3400,1.765625,1
starcoder2-3b,binding-0-outer,binding,binding-0,outer,use,j-lens,9,27,True,949,6562,2.015625,1
starcoder2-3b,binding-0-outer,binding,binding-0,outer,use,j-lens,10,27,True,797,5786,1.96875,1
starcoder2-3b,binding-0-outer,binding,binding-0,outer,use,j-lens,11,27,True,417,6343,2.5859375,1
starcoder2-3b,binding-0-outer,binding,binding-0,outer,use,j-lens,12,27,True,1908,14504,2.46875,1
starcoder2-3b,binding-0-outer,binding,binding-0,outer,use,j-lens,13,27,True,217,5066,2.890625,1
starcoder2-3b,binding-0-outer,binding,binding-0,outer,use,j-lens,14,27,True,315,3692,2.2734375,1
starcoder2-3b,binding-0-outer,binding,binding-0,outer,use,j-lens,15,27,True,382,6505,2.6015625,1
starcoder2-3b,binding-0-outer,binding,binding-0,outer,use,j-lens,16,27,True,379,5503,2.5078125,1
starcoder2-3b,binding-0-outer,binding,binding-0,outer,use,j-lens,17,27,True,163,3132,2.5234375,1
starcoder2-3b,binding-0-outer,binding,binding-0,outer,use,j-lens,18,27,True,532,7379,2.21875,1
starcoder2-3b,binding-0-outer,binding,binding-0,outer,use,j-lens,19,27,True,5567,25874,2.435546875,1
starcoder2-3b,binding-0-outer,binding,binding-0,outer,use,j-lens,20,27,True,10068,27136,1.8017578125,1
starcoder2-3b,binding-0-outer,binding,binding-0,outer,use,j-lens,21,27,True,5834,24215,2.380859375,1
starcoder2-3b,binding-0-outer,binding,binding-0,outer,use,j-lens,22,27,True,6178,17273,1.5703125,1
starcoder2-3b,binding-0-outer,binding,binding-0,outer,use,j-lens,23,27,True,7566,16952,1.265625,1
starcoder2-3b,binding-0-outer,binding,binding-0,outer,use,j-lens,24,27,True,5629,14445,1.36328125,1
starcoder2-3b,binding-0-outer,binding,binding-0,outer,use,j-lens,25,27,True,7153,9550,0.375,1
starcoder2-3b,binding-0-outer,binding,binding-0,outer,use,j-lens,26,27,True,4686,7482,0.54736328125,1
starcoder2-3b,binding-0-outer,binding,binding-0,outer,use,j-lens,27,27,True,11482,15483,0.42578125,1
starcoder2-3b,binding-0-outer,binding,binding-0,outer,use,j-lens,28,27,True,178,929,1.375,1
